,dire_name,dire_score,dire_team_id,duration,league_name,leagueid,match_id,radiant_name,radiant_score,radiant_team_id,radiant_win,series_id,series_type,start_time
41,Vici Gaming,20,726228.0,2122,AMD SAPPHIRE Dota PIT,5690,3539645043,OG,29,2586976.0,True,174989.0,1.0,1509707323
42,Team Waooo,26,4997871.0,2538,Dota 2 Professional League 2016,4920,3539606241,Rock Gaming,26,3349045.0,False,174973.0,1.0,1509706043
43,Team Waooo,29,4997871.0,3274,Dota 2 Professional League 2016,4920,3539468088,Rock Gaming,33,3349045.0,False,174973.0,1.0,1509701163
44,Rock Gaming,41,3349045.0,2479,Dota 2 Professional League 2016,4920,3539373174,Team Waooo,9,4997871.0,False,174973.0,1.0,1509697670
45,Team VDuoBao,22,2208748.0,2188,Dota 2 Professional League 2016,4920,3539240191,Team Braveheart,27,1983234.0,False,174957.0,1.0,1509692488
46,Team Braveheart,15,1983234.0,1428,Dota 2 Professional League 2016,4920,3539175822,Team VDuoBao,26,2208748.0,True,174957.0,1.0,1509689817
47,ForTheDream,27,5000254.0,1712,Dota 2 Professional League 2016,4920,3539106428,Eclipse,9,4425650.0,False,174949.0,1.0,1509686592
48,ForTheDream,34,5000254.0,2122,Dota 2 Professional League 2016,4920,3539031093,Eclipse,28,4425650.0,False,174949.0,1.0,1509682777
49,Team Liquid,43,2163.0,3285,AMD SAPPHIRE Dota PIT,5690,3538465716,Newbee,43,1375614.0,False,174862.0,1.0,1509649478
50,Newbee,32,1375614.0,2258,AMD SAPPHIRE Dota PIT,5690,3538372616,Team Liquid,40,2163.0,True,174862.0,1.0,1509645889
51,M19,5,4429098.0,1352,ProDotA Cup Series,5562,3538261837,Gambit Esports,21,4425117.0,True,174837.0,2.0,1509642039
52,Vita Fures: Arestanti,21,4963214.0,617,NFCups Season 5,5039,3538251880,After Returning ,11,3751438.0,False,0.0,0.0,1509641788
53,Immortals,19,5051649.0,1702,AMD SAPPHIRE Dota PIT,5690,3538209536,Team Liquid,35,2163.0,True,174826.0,1.0,1509640284
54,M19,6,4429098.0,1605,ProDotA Cup Series,5562,3538173372,Gambit Esports,22,4425117.0,True,174837.0,2.0,1509639149
55,Team Liquid,32,2163.0,2285,AMD SAPPHIRE Dota PIT,5690,3538073823,Immortals,36,5051649.0,False,174826.0,1.0,1509636296
56,ForTheDream,9,5000254.0,1597,Dota 2 Professional League 2016,4920,3537933067,Rock Gaming,24,3349045.0,True,174787.0,1.0,1509632744
57,ForTheDream,10,5000254.0,1897,Dota 2 Professional League 2016,4920,3537812706,Rock Gaming,30,3349045.0,True,174787.0,1.0,1509629737
58,Newbee,36,1375614.0,2491,AMD SAPPHIRE Dota PIT,5690,3537800215,SG e-sports team,22,3715574.0,False,174781.0,1.0,1509629414
59,LGD.Forever Young,24,3331948.0,1312,Dota 2 Professional League 2016,4920,3537749586,TEAM MAX,9,3325252.0,False,174788.0,1.0,1509628122
60,SG e-sports team,15,3715574.0,1964,AMD SAPPHIRE Dota PIT,5690,3537662528,Newbee,28,1375614.0,True,174781.0,1.0,1509625784
61,TEAM MAX,14,3325252.0,1892,Dota 2 Professional League 2016,4920,3537632480,LGD.Forever Young,26,3331948.0,True,174788.0,1.0,1509624958
62,ForTheDream,41,5000254.0,3495,Dota 2 Professional League 2016,4920,3537621468,Rock Gaming,40,3349045.0,False,174787.0,1.0,1509624644
63,Trash Tier Gaming,22,5010475.0,2520,AEF Season 2,5491,3537554390,Tempest,39,5029857.0,True,174775.0,1.0,1509622714
64,Newbee,12,1375614.0,2245,AMD SAPPHIRE Dota PIT,5690,3537526907,SG e-sports team,25,3715574.0,True,174781.0,1.0,1509621806
65,LGD-GAMING,34,15.0,1875,Dota 2 Professional League 2016,4920,3537521939,VGJ Thunder,16,5027210.0,False,174772.0,1.0,1509621654
66,Newbee.Young,25,1951061.0,1824,Dota 2 Professional League 2016,4920,3537486272,Team VDuoBao,12,2208748.0,False,174770.0,1.0,1509620512
67,Tempest,31,5029857.0,1994,AEF Season 2,5491,3537432129,Trash Tier Gaming,10,5010475.0,False,174775.0,1.0,1509618869
68,VGJ Thunder,37,5027210.0,2203,Dota 2 Professional League 2016,4920,3537416291,LGD-GAMING,25,15.0,False,174772.0,1.0,1509618169
69,Generation of Miracles,35,5063723.0,2137,AEF Season 2,5491,3537404265,Unlucky,21,5055073.0,False,174763.0,1.0,1509617790
70,Team VDuoBao,19,2208748.0,1912,Dota 2 Professional League 2016,4920,3537391239,Newbee.Young,34,1951061.0,True,174770.0,1.0,1509617299
71,Mum I Need Tangoes!,26,1412659.0,1928,AEF Season 2,5491,3537389564,Fox Gaming Youth,35,4009019.0,True,174760.0,1.0,1509617242
72,Team Braveheart,16,1983234.0,2178,Dota 2 Professional League 2016,4920,3537287524,Vici Gaming Potential,29,2833354.0,True,174744.0,1.0,1509613593
73,Generation of Miracles,42,5063723.0,2698,AEF Season 2,5491,3537286556,Unlucky,15,5055073.0,False,174763.0,1.0,1509614064
74,Fox Gaming Youth,36,4009019.0,1599,AEF Season 2,5491,3537283964,Mum I Need Tangoes!,9,1412659.0,False,174760.0,1.0,1509614675
75,Invictus Gaming,34,5.0,1916,Dota 2 Professional League 2016,4920,3537283480,TEAM MAX,15,3325252.0,False,174755.0,1.0,1509613449
76,Vici Gaming Potential,42,2833354.0,2610,Dota 2 Professional League 2016,4920,3537199885,Team Braveheart,16,1983234.0,False,174744.0,1.0,1509610403
77,Invictus Gaming,40,5.0,2900,Dota 2 Professional League 2016,4920,3537169772,TEAM MAX,37,3325252.0,False,174755.0,1.0,1509609265
78,Invictus Gaming,4,5.0,956,Dota 2 Professional League 2016,4920,3537088114,LGD.Forever Young,14,3331948.0,True,174740.0,1.0,1509605997
79,Team Braveheart,31,1983234.0,3548,Dota 2 Professional League 2016,4920,3537051052,Vici Gaming Potential,30,2833354.0,False,174744.0,1.0,1509604425
80,LGD.Forever Young,32,3331948.0,3147,Dota 2 Professional League 2016,4920,3536978459,Invictus Gaming,34,5.0,False,174740.0,1.0,1509600879
81,Team Waooo,38,4997871.0,2125,Dota 2 Professional League 2016,4920,3536969728,Eclipse,23,4425650.0,False,174737.0,1.0,1509600324
82,Eclipse,26,4425650.0,2779,Dota 2 Professional League 2016,4920,3536873419,Team Waooo,25,4997871.0,True,174737.0,1.0,1509595317
83,M19,37,4429098.0,1846,ProDotA Cup Series,5562,3536274369,Clavis Aurea,21,4647623.0,False,174648.0,1.0,1509562763
84,Clavis Aurea,17,4647623.0,1997,ProDotA Cup Series,5562,3536185318,M19,33,4429098.0,True,174648.0,1.0,1509559207
85,Akatsuki,17,3846296.0,777,ESL India Premiership - 2017 Edition,5407,3535758126,Five Little Chimps,2,2782219.0,False,0.0,0.0,1509547385
86,VGJ Thunder,41,5027210.0,2225,Dota 2 Professional League 2016,4920,3535504826,TEAM MAX,24,3325252.0,False,174564.0,1.0,1509541539
87,VGJ Thunder,34,5027210.0,1791,Dota 2 Professional League 2016,4920,3535367604,TEAM MAX,17,3325252.0,False,174564.0,1.0,1509538289
88,Invictus Gaming,35,5.0,2643,Dota 2 Professional League 2016,4920,3535216693,LGD-GAMING,26,15.0,False,174549.0,1.0,1509534364
89,Invictus Gaming,45,5.0,2298,Dota 2 Professional League 2016,4920,3535098233,LGD-GAMING,23,15.0,False,174549.0,1.0,1509530848
